Zaman,Seviye,Mesaj
2025-08-02 00:12:55,INFO,"GÖNDERİLİYOR → IP: 192.168.1.100, PORT: 8889, TİP: raw, MESAJ: takeoff"
2025-08-02 00:12:58,WARNING,YANIT ALINAMADI - TIMEOUT
